time,elec
14:00:00,4550.08
15:00:00,4555.008
16:00:00,4466.816
17:00:00,4281.024
18:00:00,4168.192
19:00:00,3837.888
20:00:00,3666.112
21:00:00,3660.416
22:00:00,2745.472
23:00:00,2657.984
2019-01-12 0:00,2685.952
1:00:00,2695.936
2:00:00,2714.752
3:00:00,2710.528
4:00:00,2706.56
5:00:00,3522.88
6:00:00,3866.624
7:00:00,3617.024
8:00:00,3511.104
9:00:00,3429.12
10:00:00,3099.968
11:00:00,3005.44
12:00:00,3204.544
13:00:00,3161.472
14:00:00,3129.152
15:00:00,3313.472
16:00:00,3278.784
17:00:00,3160.384
18:00:00,3157.696
19:00:00,3012.16
20:00:00,3014.912
21:00:00,NULL
22:00:00,NULL
23:00:00,2502.912
2019-01-13 0:00,2580.736
1:00:00,2603.84
2:00:00,2528.512
3:00:00,2603.52
4:00:00,2619.264
5:00:00,2708.608
6:00:00,2712.512
7:00:00,2759.104
8:00:00,2610.56
9:00:00,2578.048
10:00:00,2462.912
11:00:00,2318.72
12:00:00,2283.008
13:00:00,2315.456
14:00:00,2380.16
15:00:00,2484.224
16:00:00,2679.296
17:00:00,2673.92
18:00:00,2687.872
19:00:00,2600.384
20:00:00,2603.84
21:00:00,2616.832
22:00:00,2575.808
23:00:00,2512.128
2019-01-14 0:00,2436.16
1:00:00,2438.464
2:00:00,2407.872
3:00:00,2381.12
4:00:00,2514.112
5:00:00,4086.144
6:00:00,4630.08
7:00:00,5160.32
8:00:00,5374.656
9:00:00,5256.64
10:00:00,4926.464
11:00:00,4839.68
12:00:00,4920.064
13:00:00,4901.504
14:00:00,4747.136
15:00:00,4796.16
16:00:00,4731.008
17:00:00,4571.84
18:00:00,4578.112
19:00:00,4165.056
20:00:00,3914.88
21:00:00,3826.688
22:00:00,2747.648
23:00:00,2630.912
2019-01-15 0:00,2622.4
1:00:00,2621.696
2:00:00,2625.536
3:00:00,2662.656
4:00:00,2673.856
5:00:00,4212.928
6:00:00,4751.232
7:00:00,5345.152
8:00:00,5234.496
9:00:00,5058.304
10:00:00,4879.616
11:00:00,4830.4
12:00:00,5066.176
13:00:00,4932.352
14:00:00,4745.472
15:00:00,4754.752
16:00:00,4844.928
17:00:00,4707.904
18:00:00,4681.728
19:00:00,4213.952
20:00:00,4091.648
21:00:00,3725.248
22:00:00,0
23:00:00,2901.216
2019-01-16 0:00,2971.292
1:00:00,2944.234
2:00:00,2904.832
3:00:00,2934.517
4:00:00,3227.587
5:00:00,4563.4
6:00:00,4781.624
7:00:00,5348.508
8:00:00,5454.244
9:00:00,5245.332
10:00:00,5078.752
11:00:00,4887.628
12:00:00,4891.14
13:00:00,4871.084
14:00:00,4849.088
15:00:00,5062.648
16:00:00,4946.648
17:00:00,4779.968
18:00:00,4581.832
19:00:00,4201.688
20:00:00,4112.184
21:00:00,3674.608
22:00:00,3073.04
23:00:00,3025.768
2019-01-17 0:00,3106.712
1:00:00,3108.504
2:00:00,3164.432
3:00:00,3088.552
4:00:00,3060.368
5:00:00,4155.048
6:00:00,4479.752
7:00:00,5112.768
8:00:00,5208.944
9:00:00,5093.888
10:00:00,4748.112
11:00:00,4673.76
12:00:00,4819.952
13:00:00,4579.152
14:00:00,4459.824
15:00:00,4751.424
16:00:00,4834.864
17:00:00,4965.28
18:00:00,4703.392
19:00:00,4302.976
20:00:00,3939.568
21:00:00,3604.256
22:00:00,2824.016
23:00:00,2777.152
2019-01-18 0:00,2754.592
1:00:00,2765.968
2:00:00,2696.72
3:00:00,2732.064
4:00:00,2764.08
5:00:00,3823.632
6:00:00,4693.744
7:00:00,5144.096
8:00:00,5209.952
9:00:00,5039.552
10:00:00,5011.68
11:00:00,4785.44
12:00:00,4738.224
13:00:00,4693.792
14:00:00,4668.736
15:00:00,4846.08
16:00:00,4729.664
17:00:00,4661.472
18:00:00,4441.728
19:00:00,4142.944
20:00:00,3797.536
21:00:00,3694.464
22:00:00,2628.064
23:00:00,2573.6
2019-01-19 0:00,2524.224
1:00:00,2608.416
2:00:00,2631.04
3:00:00,2565.216
4:00:00,2540.288
5:00:00,2639.456
6:00:00,2732.064
7:00:00,2735.264
8:00:00,2783.552
9:00:00,2818.752
10:00:00,2781.152
11:00:00,2768
12:00:00,2773.024
13:00:00,2779.456
14:00:00,2629.216
15:00:00,2639.456
16:00:00,2739.776
17:00:00,2843.968
18:00:00,2896.256
19:00:00,2675.648
20:00:00,2594.624
21:00:00,2583.744
22:00:00,2590.464
23:00:00,2551.456
2019-01-20 0:00,2548.64
1:00:00,2531.648
2:00:00,2515.68
3:00:00,2488.064
4:00:00,2517.76
5:00:00,2635.712
6:00:00,2762.368
7:00:00,2730.72
8:00:00,2669.856
9:00:00,2580.896
10:00:00,2441.184
11:00:00,2333.888
12:00:00,2245.248
13:00:00,2270.464
14:00:00,2359.296
15:00:00,2454.656
16:00:00,2544.96
17:00:00,2640.096
18:00:00,2671.008
19:00:00,2690.176
20:00:00,2770.368
21:00:00,2751.968
22:00:00,2726.816
23:00:00,2841.6
2019-01-21 0:00,3769.568
1:00:00,3750.208
2:00:00,3806.016
3:00:00,3730.624
4:00:00,3725.312
5:00:00,4126.496
6:00:00,4405.536
7:00:00,5063.104
8:00:00,5276.416
9:00:00,5204.608
10:00:00,5188.64
11:00:00,5265.216
12:00:00,5485.472
13:00:00,5505.12
14:00:00,5361.248
15:00:00,5124.16
16:00:00,4908.96
17:00:00,4932.832
18:00:00,4849.728
19:00:00,4569.248
20:00:00,4067.968
21:00:00,3846.336
22:00:00,3031.648
23:00:00,2949.792
