Dry_Temperature,Rel_Humidity,Wet_Temperature
30,66.5,25
29,65.9,24
28,65.2,23
27,64.5,22
26,63.8,21
25,63,20
24,62.2,19
23,61.3,18
22,60.4,17
21,59.4,16
20,58.4,15
19,57.3,14
18,56.1,13
17,54.9,12
16,53.6,11
15,52.2,10
14,50.7,9
13,49.1,8
12,47.4,7
11,45.6,6
10,43.7,5
40,68.9,34.5
39,68.5,33.5
38,68,32.5
37,67.5,31.5
36,67.1,30.5
35,66.5,29.5
34,66,28.5
33,65.4,27.5
32,64.8,26.5
31,64.2,25.5
30,63.5,24.5
29,62.8,23.5
28,62.1,22.5
27,61.3,21.5
26,60.5,20.5
25,59.7,19.5
24,58.8,18.5
23,57.8,17.5
22,56.8,16.5
21,55.7,15.5
20,54.6,14.5
19,53.4,13.5
18,52.1,12.5
17,50.8,11.5
16,49.4,10.5
15,47.8,9.5
14,46.2,8.5
13,44.5,7.5
12,42.6,6.5
11,40.6,5.5
10,38.5,4.5
40,66.4,34
39,65.9,33
38,65.5,32
37,64.9,31
36,64.4,30
35,63.8,29
34,63.2,28
33,62.6,27
32,62,26
31,61.3,25
30,60.6,24
29,59.8,23
28,59,22
27,58.2,21
26,57.3,20
25,56.4,19
24,55.4,18
23,54.4,17
22,53.3,16
21,52.1,15
20,50.9,14
19,49.6,13
18,48.2,12
17,46.8,11
16,45.2,10
15,43.6,9
14,41.8,8
13,39.9,7
12,37.9,6
11,35.7,5
10,33.4,4
40,64,33.5
39,63.5,32.5
38,62.9,31.5
37,62.4,30.5
36,61.8,29.5
35,61.2,28.5
34,60.6,27.5
33,59.9,26.5
32,59.2,25.5
31,58.5,24.5
30,57.7,23.5
29,56.9,22.5
28,56,21.5
27,55.1,20.5
26,54.2,19.5
25,53.2,18.5
24,52.1,17.5
23,51,16.5
22,49.9,15.5
21,48.6,14.5
20,47.3,13.5
19,45.9,12.5
18,44.4,11.5
17,42.8,10.5
16,41.1,9.5
15,39.3,8.5
14,37.4,7.5
13,35.4,6.5
12,33.2,5.5
11,30.9,4.5
10,28.4,3.5
40,61.6,33
39,61,32
38,60.5,31
37,59.9,30
36,59.2,29
35,58.6,28
34,57.9,27
33,57.2,26
32,56.5,25
